,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,client_wins,host_wins,Previous_相對溼度(%),Previous_降水量(mm),Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_PA,Previous_HOST_3B,Previous_HOST_TB,Previous_HOST_SAC,Previous_HOST_DP,Previous_HOST_PB,Previous_CLIENT_PA,Previous_CLIENT_3B,Stadium
0,5918,0.4870781893004115,2017-03-26,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.5,1.0,88.54,0.9,2,2,1,1,5,31,0,14,0,0,0,37,0,新莊
1,9659,0.48295,2017-03-26,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0.0,79.42,0.52,0,1,1,0,1,24,0,10,0,0,0,32,0,洲際
2,8712,0.4356,2017-03-28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0.0,84.75,0.56,3,1,1,0,13,35,0,9,0,0,0,44,0,桃園
3,4035,0.20175,2017-03-29,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0.0,67.75,0.0,0,2,1,1,0,26,0,9,0,0,0,30,0,洲際
4,3581,0.17905,2017-03-30,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.6666666666666666,0.3333333333333333,89.17,0.0,1,0,3,0,2,38,1,23,0,0,0,26,0,洲際
5,4815,0.24075,2017-03-30,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.75,0.5,58.88,0.0,1,0,3,2,5,37,0,25,1,0,0,32,0,桃園
6,10591,0.52955,2017-04-01,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0.6666666666666666,70.62,0.0,2,2,2,0,8,41,0,22,0,0,0,25,0,桃園
7,8406,0.6918518518518518,2017-04-01,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0.5,73.29,0.54,0,2,1,1,5,36,0,15,1,0,0,25,0,新莊
8,11315,0.56575,2017-04-02,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.4,0.75,43.33,0.0,1,0,1,1,11,40,1,18,1,0,0,40,0,桃園
9,5272,0.2636,2017-04-02,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333333333333333,0.8,49.92,0.0,2,1,3,0,5,37,0,17,0,0,1,25,0,桃園
10,4681,0.38526748971193414,2017-04-02,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.3,0.3333333333333333,49.92,0.0,0,0,3,0,4,31,0,19,0,0,0,28,0,新莊
11,9245,0.7609053497942386,2017-04-02,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.375,0.4,66.79,0.52,2,1,1,2,9,33,0,5,0,0,0,40,0,新莊
12,8188,0.6823333333333333,2017-04-04,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.2857142857142857,0.3333333333333333,43.33,0.0,0,2,1,0,7,42,0,12,0,0,0,38,1,台南
13,5093,0.25465,2017-04-05,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2857142857142857,0.8333333333333334,59.71,0.0,0,1,1,3,5,40,0,16,0,0,0,26,0,桃園
14,3156,0.263,2017-04-06,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.25,0.3333333333333334,67.12,0.0,2,3,1,0,7,43,0,18,1,0,0,48,0,台南
15,4369,0.21845,2017-04-06,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.25,0.8571428571428571,63.21,0.0,0,0,3,1,4,32,0,12,0,0,0,21,0,桃園
16,3326,0.2771666666666667,2017-04-07,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.875,0.375,76.83,0.0,2,2,0,1,3,35,0,11,0,0,0,38,0,台南
17,3917,0.32238683127572015,2017-04-07,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.2222222222222222,0.2222222222222222,74.38,0.0,0,0,0,0,4,33,0,7,0,0,1,41,0,新莊
18,5539,0.46158333333333335,2017-04-08,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.8888888888888888,0.3888888888888889,76.96,0.0,4,2,1,0,9,28,0,11,0,0,0,44,0,台南
19,9169,0.7546502057613169,2017-04-08,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.3,0.2,74.79,0.0,0,1,1,1,4,52,0,16,1,0,0,50,0,新莊
20,5815,0.47860082304526746,2017-04-09,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.3636363636363636,0.1818181818181818,76.33,0.0,2,0,1,0,9,31,0,16,1,0,0,42,0,新莊
21,5068,0.2534,2017-04-09,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.8,0.39,74.5,0.0,2,1,0,0,5,33,0,9,1,0,0,40,0,澄清湖
22,3706,0.1853,2017-04-11,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.3333333333333333,0.4227272727272728,75.25,0.0,0,2,1,1,3,28,0,8,0,0,0,32,0,澄清湖
23,2852,0.23473251028806585,2017-04-12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.7272727272727273,0.25,71.21,0.0,1,0,0,0,10,31,0,7,0,0,0,41,0,新莊
24,5090,0.3393333333333333,2017-04-13,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.3846153846153846,0.4541666666666667,80.12,0.56,2,0,0,0,6,28,0,11,0,0,0,36,0,斗六
25,3787,0.18935,2017-04-14,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.75,0.3571428571428572,95.29,1.04,0,1,1,0,3,36,0,11,0,0,0,37,1,洲際
26,3102,0.2553086419753086,2017-04-14,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.4448717948717948,0.2307692307692308,82.58,0.0,0,1,2,1,4,35,0,18,0,0,0,37,0,新莊
27,5245,0.4316872427983539,2017-04-15,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.4369047619047619,0.2857142857142857,78.75,0.0,0,1,0,0,4,40,0,10,0,0,0,36,2,新莊
28,10012,0.5006,2017-04-15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.6923076923076923,0.4,82.46,0.0,1,1,2,0,6,30,0,21,0,0,0,30,0,洲際
29,4511,0.3712757201646091,2017-04-16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.4633333333333333,0.3333333333333333,75.17,0.0,3,3,3,0,7,44,0,27,0,0,0,42,0,新莊
30,5719,0.28595,2017-04-16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.7142857142857143,0.375,81.0,0.0,0,1,0,2,3,31,0,8,0,0,0,41,0,洲際
31,4409,0.22045,2017-04-18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.3125,0.6666666666666666,77.0,0.0,4,0,2,0,9,29,0,12,0,0,0,40,0,桃園
32,3741,0.30790123456790125,2017-04-19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.4552083333333333,0.4117647058823529,91.88,0.08,2,6,1,0,7,34,0,12,1,0,0,33,0,新莊
33,4322,0.2161,2017-04-20,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.2941176470588235,0.6875,75.29,0.02,3,0,2,1,9,39,0,20,0,0,0,35,1,桃園
34,3923,0.322880658436214,2017-04-20,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.4788515406162464,0.3888888888888889,84.08,0.06,2,0,1,2,9,39,0,14,0,0,0,43,0,新莊
35,3039,0.25325,2017-04-21,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.2777777777777778,0.4730820105820105,82.5,0.02,1,0,1,1,5,33,1,19,0,0,0,28,0,台南
36,14112,0.7056,2017-04-22,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.3684210526315789,0.7058823529411765,80.88,1.06,1,1,0,2,7,24,0,6,0,0,0,24,0,桃園
37,4012,0.3343333333333333,2017-04-22,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.2631578947368421,0.4598788638262321,73.17,0.02,0,2,1,1,8,37,0,17,0,0,0,25,0,台南
38,3828,0.1914,2017-04-23,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.3,0.456329365079365,62.79,0.0,1,3,1,0,9,32,0,11,0,0,0,40,0,澄清湖
39,7155,0.35775,2017-04-23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.35,0.7222222222222222,87.92,0.4,1,1,1,1,4,28,0,12,0,0,0,37,0,桃園
40,9354,0.4677,2017-04-23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.3809523809523809,0.6842105263157895,62.79,0.0,0,1,0,1,5,30,0,8,1,0,0,42,0,桃園
41,3943,0.32452674897119344,2017-04-25,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.4090909090909091,0.3333333333333333,86.83,0.08,2,0,1,1,5,33,0,8,0,0,0,21,0,新莊
