,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_SCORE,Previous_TIME,Previous_HOST_H,Previous_HOST_SO,Previous_HOST_SB,Previous_HOST_BB,Previous_CLIENT_H,Previous_CLIENT_SO,Previous_CLIENT_SB,Previous_CLIENT_BB,Stadium
0,5918,0.4870781893004115,2017-03-26,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,2,1,1,5,8,175,10,5,0,3,6,8,0,2,新莊
1,9659,0.48295,2017-03-26,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,2,170,5,7,0,1,8,4,0,2,洲際
2,8712,0.4356,2017-03-28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,0,13,4,195,5,8,0,3,12,9,1,7,桃園
3,4035,0.20175,2017-03-29,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,4,179,4,5,0,4,3,7,0,0,洲際
4,3581,0.17905,2017-03-30,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,2,10,175,11,8,3,4,4,6,0,1,洲際
5,4815,0.24075,2017-03-30,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,5,6,206,13,6,1,1,10,6,0,3,桃園
6,10591,0.52955,2017-04-01,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,0,8,9,166,13,3,1,3,6,4,0,1,桃園
7,8406,0.6918518518518518,2017-04-01,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,5,9,166,9,4,1,3,7,2,3,0,新莊
8,11315,0.56575,2017-04-02,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,11,6,229,11,7,1,2,8,3,2,10,桃園
9,5272,0.2636,2017-04-02,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,3,0,5,6,211,7,7,0,6,8,6,0,0,桃園
10,4681,0.38526748971193414,2017-04-02,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,4,5,183,8,3,0,2,9,4,2,3,新莊
11,9245,0.7609053497942386,2017-04-02,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,2,9,1,201,2,12,2,4,10,5,1,6,新莊
12,8188,0.6823333333333333,2017-04-04,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,7,4,221,7,6,2,5,9,6,1,3,台南
13,5093,0.25465,2017-04-05,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,3,5,9,194,10,6,0,5,6,7,0,0,桃園
14,3156,0.263,2017-04-06,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,3,1,0,7,8,263,12,6,2,4,12,9,0,4,台南
15,4369,0.21845,2017-04-06,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,4,6,197,6,5,1,5,2,3,0,5,桃園
16,3326,0.2771666666666667,2017-04-07,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2,0,1,3,4,189,8,5,1,3,7,7,1,3,台南
17,3917,0.32238683127572015,2017-04-07,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,199,6,4,1,2,10,5,4,6,新莊
18,5539,0.46158333333333335,2017-04-08,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,2,1,0,9,4,221,9,5,0,1,13,3,3,6,台南
19,9169,0.7546502057613169,2017-04-08,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,4,5,275,10,6,1,8,11,12,1,5,新莊
20,5815,0.47860082304526746,2017-04-09,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,9,7,210,11,6,1,1,15,10,1,3,新莊
21,5068,0.2534,2017-04-09,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,5,6,218,7,3,0,3,10,6,0,4,澄清湖
22,3706,0.1853,2017-04-11,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,1,3,5,195,5,4,1,2,7,3,0,3,澄清湖
23,2852,0.23473251028806585,2017-04-12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,10,2,200,6,4,1,3,11,12,1,3,新莊
24,5090,0.3393333333333333,2017-04-13,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,6,3,168,8,8,0,0,7,5,1,1,斗六
25,3787,0.18935,2017-04-14,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,4,204,8,10,0,3,8,10,0,0,洲際
26,3102,0.2553086419753086,2017-04-14,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,4,5,193,12,9,2,1,7,7,2,1,新莊
27,5245,0.4316872427983539,2017-04-15,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,2,200,10,5,0,5,9,11,0,1,新莊
28,10012,0.5006,2017-04-15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,6,17,219,14,4,0,1,9,5,1,2,洲際
29,4511,0.3712757201646091,2017-04-16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,3,3,0,7,11,226,18,3,4,2,12,6,3,3,新莊
30,5719,0.28595,2017-04-16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,3,4,259,7,6,0,4,8,2,1,9,洲際
31,4409,0.22045,2017-04-18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,2,0,9,7,228,7,7,2,2,11,7,1,3,桃園
